Customer_ID,Retention_Strategy,Recommended_Strategy,Churn_Probability,Projected_Churn,Lifetime_Value
CUST_03VGSO,Loyalty Program,Discounts,0.58,0.5336,7295.43
CUST_W38ZZH,Discount,Standard Communication,0.19,0.19,5966.42
CUST_8G7BHK,Email Campaign,Standard Communication,0.81,0.81,4341.2
CUST_P9T6U4,Loyalty Program,Standard Communication,0.13,0.13,564.98
CUST_WHO2UV,Discount,VIP Treatment,0.6,0.51,7628.21
CUST_78NP44,Discount,Standard Communication,0.24,0.24,6109.08
CUST_23YQ40,Email Campaign,Standard Communication,0.26,0.26,8434.77
CUST_9B07QB,Loyalty Program,VIP Treatment,0.96,0.816,8415.45
CUST_JB97L6,Loyalty Program,Discounts,0.56,0.5152000000000001,9203.9
CUST_Q0VXAR,Loyalty Program,Discounts,0.51,0.4692,3187.63
CUST_6DC0ZP,Discount,Standard Communication,0.15,0.15,6083.34
CUST_5VF55C,Email Campaign,Loyalty Programs,0.04,0.036000000000000004,6534.84
CUST_GY1GWV,Loyalty Program,Discounts,0.34,0.3128,1991.18
CUST_IIULGV,Loyalty Program,Standard Communication,0.1,0.1,5924.4
CUST_URJW4T,Discount,Discounts,0.55,0.5060000000000001,3331.99
CUST_57E5KO,Loyalty Program,Standard Communication,0.21,0.21,9841.81
CUST_8TMMB5,Email Campaign,Standard Communication,0.11,0.11,6176.59
CUST_RSS5KA,Discount,Discounts,0.42,0.3864,2524.8
CUST_9QGD5H,Loyalty Program,Standard Communication,0.76,0.76,3103.67
CUST_GDUSB3,Discount,Re-engagement Campaign,0.81,0.7128000000000001,2627.16
CUST_EF75FR,Email Campaign,Discounts,0.41,0.3772,6524.56
CUST_L0CSTA,Discount,Re-engagement Campaign,0.12,0.1056,5108.12
CUST_VS15OP,Email Campaign,Discounts,0.47,0.4324,9402.59
CUST_CUB01S,Loyalty Program,Discounts,0.3,0.276,9220.4
CUST_1CNZO2,Email Campaign,Discounts,0.31,0.2852,9334.52
CUST_FJ6YCM,Email Campaign,Standard Communication,0.68,0.68,6041.1
CUST_LD7ZA3,Discount,Re-engagement Campaign,0.1,0.08800000000000001,9182.12
CUST_TE3842,Discount,Discounts,0.4,0.36800000000000005,7952.73
CUST_W60OR1,Loyalty Program,Discounts,0.37,0.34040000000000004,9379.27
CUST_RC22LB,Email Campaign,Standard Communication,0.09,0.09,5481.32
CUST_J5Y3K8,Email Campaign,Standard Communication,0.25,0.25,6867.52
CUST_N703JU,Discount,Standard Communication,0.71,0.71,1833.27
CUST_4S7MHZ,Loyalty Program,Standard Communication,0.15,0.15,6135.06
CUST_G3XAO2,Discount,VIP Treatment,0.98,0.833,7558.18
CUST_M114W6,Loyalty Program,Standard Communication,0.03,0.03,722.18
CUST_3F5EN6,Loyalty Program,Discounts,0.46,0.4232,6514.68
CUST_8KJPIX,Email Campaign,Re-engagement Campaign,0.65,0.5720000000000001,1852.9
CUST_SSWM4Z,Loyalty Program,VIP Treatment,0.7,0.595,7887.92
CUST_TAAQ2S,Email Campaign,Standard Communication,0.87,0.87,6302.57
CUST_EZ7G67,Discount,Discounts,0.58,0.5336,6195.19
CUST_M7O7Y5,Email Campaign,Discounts,0.38,0.3496,3587.69
CUST_D3N36C,Discount,Standard Communication,0.75,0.75,2524.55
CUST_ZR2IMK,Email Campaign,Standard Communication,0.8,0.8,1095.33
CUST_45U7SN,Loyalty Program,Discounts,0.49,0.45080000000000003,5446.2
CUST_HWBOFC,Loyalty Program,Re-engagement Campaign,0.29,0.2552,8680.81
CUST_FLYBOL,Loyalty Program,Standard Communication,0.65,0.65,2395.15
CUST_AZFQGV,Discount,Re-engagement Campaign,0.64,0.5632,4076.63
CUST_A7XJIT,Email Campaign,Discounts,0.38,0.3496,7497.39
CUST_66TFRW,Email Campaign,Discounts,0.35,0.322,547.76
CUST_QFKUZV,Email Campaign,Loyalty Programs,0.11,0.099,7061.19
CUST_JTMYI5,Email Campaign,Standard Communication,0.25,0.25,4033.27
CUST_CV27Z5,Email Campaign,Standard Communication,0.1,0.1,4872.71
CUST_QX5W3V,Discount,Re-engagement Campaign,0.63,0.5544,6005.18
CUST_2THREU,Email Campaign,Standard Communication,0.19,0.19,1380.6
CUST_604LO3,Discount,Discounts,0.57,0.5244,5979.89
CUST_C36MTJ,Discount,Discounts,0.33,0.30360000000000004,7031.06
CUST_K764FK,Discount,VIP Treatment,0.71,0.6034999999999999,9417.0
CUST_ULVQS2,Loyalty Program,VIP Treatment,0.91,0.7735,8360.72
CUST_VDHB59,Discount,Re-engagement Campaign,0.28,0.24640000000000004,4006.44
CUST_A9FRKF,Discount,Discounts,0.58,0.5336,7165.38
CUST_0VNMN1,Loyalty Program,Discounts,0.31,0.2852,7772.72
CUST_JORK0B,Loyalty Program,Standard Communication,0.63,0.63,5089.08
CUST_X90APR,Email Campaign,Standard Communication,0.19,0.19,3328.07
CUST_AU6PRB,Discount,VIP Treatment,0.7,0.595,6706.6
CUST_0QZFL9,Loyalty Program,Discounts,0.43,0.3956,603.45
CUST_03P3IW,Discount,Standard Communication,0.24,0.24,2427.98
CUST_WLH73D,Email Campaign,Standard Communication,0.65,0.65,6133.56
CUST_ZO3NSR,Loyalty Program,Discounts,0.41,0.3772,7676.81
CUST_F9BD9E,Loyalty Program,Standard Communication,0.1,0.1,9610.89
CUST_CQX0TR,Email Campaign,Standard Communication,0.23,0.23,7853.2
CUST_RFB8H6,Discount,Re-engagement Campaign,0.09,0.07919999999999999,6276.41
CUST_V6Z81M,Loyalty Program,Standard Communication,0.75,0.75,4293.36
CUST_NH1Y1R,Loyalty Program,Standard Communication,0.08,0.08,259.68
CUST_WOA4PL,Email Campaign,Discounts,0.52,0.47840000000000005,8798.72
CUST_GU7IEC,Discount,Loyalty Programs,0.2,0.18000000000000002,3555.28
CUST_Y4JX5T,Loyalty Program,Standard Communication,0.29,0.29,771.25
CUST_AAFNF9,Loyalty Program,Loyalty Programs,0.24,0.216,7790.81
CUST_13N7PZ,Discount,Standard Communication,0.01,0.01,3258.4
CUST_OJW64Y,Email Campaign,Discounts,0.36,0.3312,3976.32
CUST_PSXGH7,Discount,Standard Communication,0.86,0.86,4729.62
CUST_UTVRN1,Email Campaign,Discounts,0.58,0.5336,3021.96
CUST_FAD46C,Loyalty Program,Re-engagement Campaign,0.88,0.7744,4814.4
CUST_2H1QQK,Discount,Standard Communication,0.06,0.06,307.7
CUST_Q4PTY8,Discount,Discounts,0.51,0.4692,901.51
CUST_FX22XJ,Email Campaign,Discounts,0.35,0.322,9457.74
CUST_ZQIOVB,Email Campaign,VIP Treatment,0.73,0.6204999999999999,8296.02
CUST_XNV7S4,Email Campaign,Re-engagement Campaign,0.84,0.7392,1196.11
CUST_50750J,Discount,Standard Communication,0.68,0.68,766.82
CUST_WQ5GUX,Loyalty Program,Discounts,0.55,0.5060000000000001,7302.36
CUST_MRRPXB,Discount,Standard Communication,0.03,0.03,340.07
CUST_DQNQ31,Email Campaign,VIP Treatment,0.81,0.6885,7390.5
CUST_L5QA3A,Loyalty Program,Re-engagement Campaign,0.69,0.6072,5684.82
CUST_RN56P2,Email Campaign,VIP Treatment,0.86,0.731,9649.74
CUST_VQ4BXA,Loyalty Program,Standard Communication,0.62,0.62,5252.47
CUST_LPD11M,Loyalty Program,Standard Communication,0.01,0.01,6624.67
CUST_5C5TX3,Discount,Re-engagement Campaign,0.98,0.8623999999999999,1973.95
CUST_PPTS5Q,Email Campaign,Loyalty Programs,0.04,0.036000000000000004,9635.23
CUST_GVIIWS,Loyalty Program,Discounts,0.35,0.322,864.19
CUST_ZJO0GW,Loyalty Program,Discounts,0.58,0.5336,8496.57
CUST_6JHN8N,Email Campaign,Discounts,0.37,0.34040000000000004,6241.78
CUST_NFF3HE,Email Campaign,Discounts,0.35,0.322,3724.67
CUST_QEG3JB,Email Campaign,Standard Communication,0.08,0.08,2644.97
CUST_VT82XX,Discount,Discounts,0.43,0.3956,3971.89
CUST_GPB261,Discount,Standard Communication,0.61,0.61,4865.47
CUST_UHC66C,Discount,Re-engagement Campaign,0.03,0.0264,468.64
CUST_0EWXBG,Discount,Re-engagement Campaign,0.26,0.2288,8188.04
CUST_J07LN9,Email Campaign,Re-engagement Campaign,0.27,0.2376,653.25
CUST_9LSS40,Loyalty Program,Re-engagement Campaign,0.85,0.748,3366.97
CUST_D04EQV,Loyalty Program,Standard Communication,0.74,0.74,1103.77
CUST_CSNXG7,Email Campaign,Discounts,0.49,0.45080000000000003,4193.49
CUST_NZ7TYC,Email Campaign,VIP Treatment,0.95,0.8075,9379.66
CUST_C3O04O,Loyalty Program,Re-engagement Campaign,0.18,0.15839999999999999,7846.48
CUST_EHFNDR,Loyalty Program,Standard Communication,0.27,0.27,8492.5
CUST_CLEMBO,Loyalty Program,Discounts,0.47,0.4324,7255.67
CUST_IZOVTJ,Discount,Standard Communication,0.98,0.98,490.54
CUST_BIEFKB,Discount,Standard Communication,0.08,0.08,3923.32
CUST_18LJ9Z,Discount,Standard Communication,0.28,0.28,5623.42
CUST_QFLRA3,Email Campaign,Standard Communication,0.71,0.71,795.94
CUST_FW9680,Email Campaign,Standard Communication,0.21,0.21,2635.17
CUST_ERDH3N,Email Campaign,Discounts,0.56,0.5152000000000001,2332.7
CUST_U1309B,Loyalty Program,Standard Communication,0.97,0.97,2437.96
CUST_5DE0CA,Email Campaign,Discounts,0.33,0.30360000000000004,298.19
CUST_QLHC43,Email Campaign,Discounts,0.54,0.4968000000000001,5825.32
CUST_6QZMPU,Discount,Re-engagement Campaign,0.04,0.0352,1434.5
CUST_YK5E2F,Email Campaign,Discounts,0.44,0.4048,3331.5
CUST_9B1WZ4,Loyalty Program,Loyalty Programs,0.21,0.189,7206.05
CUST_KBRVKR,Loyalty Program,Standard Communication,0.61,0.61,703.43
CUST_TIU8QB,Email Campaign,Loyalty Programs,0.05,0.045000000000000005,2469.07
CUST_PB51TZ,Loyalty Program,Standard Communication,0.9,0.9,5652.37
CUST_4OKKLF,Email Campaign,Discounts,0.53,0.48760000000000003,723.21
CUST_QZXHYM,Email Campaign,Standard Communication,0.03,0.03,8463.6
CUST_ORRC8Q,Email Campaign,Discounts,0.54,0.4968000000000001,9343.7
CUST_0387QQ,Loyalty Program,Standard Communication,0.84,0.84,4296.79
CUST_M59TCB,Loyalty Program,Standard Communication,0.13,0.13,3869.14
CUST_11DPB6,Discount,Discounts,0.51,0.4692,4498.04
CUST_359VK9,Email Campaign,VIP Treatment,0.78,0.663,7373.24
CUST_9CH7X6,Email Campaign,Discounts,0.51,0.4692,3380.38
CUST_3M3JS5,Discount,Discounts,0.35,0.322,946.49
CUST_LNEJGD,Discount,Discounts,0.4,0.36800000000000005,2113.5
CUST_TORFN4,Discount,Re-engagement Campaign,0.21,0.1848,8960.36
CUST_U5TX8E,Discount,Standard Communication,0.29,0.29,8824.66
CUST_IQRR2W,Loyalty Program,Standard Communication,0.04,0.04,5729.85
CUST_YN221K,Loyalty Program,VIP Treatment,0.72,0.612,9764.76
CUST_9841NU,Loyalty Program,Discounts,0.35,0.322,5049.92
CUST_DMMU62,Loyalty Program,Standard Communication,0.17,0.17,5697.64
CUST_J23IK1,Loyalty Program,Standard Communication,0.26,0.26,4960.3
CUST_ZATVYZ,Discount,VIP Treatment,0.71,0.6034999999999999,8939.51
CUST_EM3I8P,Discount,Standard Communication,0.85,0.85,316.6
CUST_I7U1V2,Discount,Standard Communication,0.66,0.66,6368.01
CUST_SR7FKC,Loyalty Program,Re-engagement Campaign,0.62,0.5456,5084.25
CUST_0S4NJO,Discount,Discounts,0.5,0.46,2226.8
CUST_KVCPJQ,Discount,Standard Communication,0.63,0.63,573.04
CUST_YJ2LV7,Loyalty Program,Standard Communication,0.21,0.21,7179.5
CUST_95J2M8,Email Campaign,Loyalty Programs,0.15,0.135,5792.04
CUST_XQQGJE,Discount,Standard Communication,0.9,0.9,2780.57
CUST_83765H,Loyalty Program,Discounts,0.38,0.3496,2171.87
CUST_EO6DGB,Loyalty Program,Standard Communication,0.63,0.63,1861.76
CUST_D7DIU7,Loyalty Program,VIP Treatment,0.84,0.714,7942.97
CUST_CZZRGE,Loyalty Program,VIP Treatment,0.7,0.595,7372.35
CUST_703U8V,Discount,Discounts,0.4,0.36800000000000005,4946.65
CUST_A0HHBB,Email Campaign,Standard Communication,0.16,0.16,7627.49
CUST_YIPEPJ,Loyalty Program,Standard Communication,0.85,0.85,6633.98
CUST_KSKMPS,Discount,Standard Communication,0.89,0.89,2441.12
CUST_KKREQV,Loyalty Program,Standard Communication,0.12,0.12,6158.15
CUST_9UEGLZ,Email Campaign,Standard Communication,0.68,0.68,3101.8
CUST_FZRE7V,Discount,Discounts,0.55,0.5060000000000001,3833.5
CUST_ICZGOV,Email Campaign,Standard Communication,0.06,0.06,8040.64
CUST_SUTEKA,Loyalty Program,VIP Treatment,0.63,0.5355,7851.21
CUST_4QOQW2,Email Campaign,VIP Treatment,0.6,0.51,9027.96
CUST_2LIZTU,Email Campaign,Discounts,0.56,0.5152000000000001,3903.99
CUST_BSWBU2,Loyalty Program,Discounts,0.55,0.5060000000000001,6371.75
CUST_W3GN6Y,Email Campaign,Discounts,0.3,0.276,4277.75
CUST_AOHTHN,Discount,Discounts,0.54,0.4968000000000001,4882.06
CUST_IV4CCI,Loyalty Program,Standard Communication,0.83,0.83,3153.07
CUST_SAA1WU,Email Campaign,VIP Treatment,0.64,0.544,8928.28
CUST_FS4A8E,Discount,Discounts,0.32,0.2944,1563.63
CUST_RYERM7,Email Campaign,Standard Communication,0.88,0.88,4727.04
CUST_K3X3V2,Email Campaign,Standard Communication,0.76,0.76,3555.99
CUST_DRLG6M,Email Campaign,Discounts,0.56,0.5152000000000001,1988.44
CUST_JWL5LC,Loyalty Program,Re-engagement Campaign,0.09,0.07919999999999999,3211.85
CUST_BFBAFA,Email Campaign,VIP Treatment,0.77,0.6545,6821.34
CUST_OJGSHZ,Email Campaign,Standard Communication,0.6,0.6,6409.4
CUST_HYAXU7,Discount,Standard Communication,0.65,0.65,5188.98
CUST_C6J5HH,Email Campaign,Re-engagement Campaign,0.25,0.22,1885.14
CUST_TFUCMA,Email Campaign,Discounts,0.42,0.3864,8707.06
CUST_MZUQCP,Email Campaign,Standard Communication,0.21,0.21,9835.83
CUST_GBX2WF,Loyalty Program,Standard Communication,0.76,0.76,4111.7
CUST_MQXD1O,Email Campaign,Standard Communication,0.14,0.14,9606.28
CUST_XR5KVV,Email Campaign,Standard Communication,0.06,0.06,7416.75
CUST_AU37H5,Discount,Standard Communication,0.28,0.28,2633.01
CUST_13S2DS,Email Campaign,Discounts,0.59,0.5428,7880.98
CUST_8M2LLA,Email Campaign,Discounts,0.32,0.2944,4602.36
CUST_DW1D8Z,Discount,VIP Treatment,0.62,0.527,8360.29
CUST_168JL6,Discount,Discounts,0.33,0.30360000000000004,2919.8
CUST_QDPLSS,Email Campaign,Discounts,0.51,0.4692,4912.14
CUST_TZYIND,Discount,Standard Communication,0.66,0.66,5812.33
CUST_TUE77D,Email Campaign,Standard Communication,0.04,0.04,8388.85
CUST_V40MH3,Discount,VIP Treatment,0.62,0.527,8632.23
CUST_0E7D5J,Discount,Standard Communication,0.22,0.22,8577.09
CUST_UH7STY,Loyalty Program,VIP Treatment,0.85,0.7224999999999999,9713.17
CUST_2I5H9R,Email Campaign,Standard Communication,0.11,0.11,7015.65
CUST_FCT5RD,Loyalty Program,Standard Communication,0.64,0.64,1417.39
CUST_CMW5B7,Loyalty Program,Standard Communication,0.21,0.21,9085.06
CUST_9FBHSL,Discount,Standard Communication,0.85,0.85,215.12
CUST_YA55K8,Loyalty Program,VIP Treatment,0.79,0.6715,6900.03
CUST_D6EENA,Loyalty Program,Standard Communication,0.11,0.11,4197.17
CUST_N95SRF,Loyalty Program,Discounts,0.34,0.3128,765.72
CUST_P5T8C8,Discount,VIP Treatment,0.65,0.5525,7927.48
CUST_UIH4M4,Discount,Standard Communication,0.9,0.9,1096.1
CUST_WFMLY7,Discount,Discounts,0.52,0.47840000000000005,2323.39
CUST_R8U8WH,Loyalty Program,Loyalty Programs,0.1,0.09000000000000001,3321.74
CUST_B0FXXB,Email Campaign,Discounts,0.38,0.3496,7988.33
CUST_2SXBEJ,Loyalty Program,Standard Communication,0.27,0.27,8021.9
CUST_5R2MB8,Loyalty Program,Discounts,0.37,0.34040000000000004,704.97
CUST_1NGEFT,Email Campaign,Discounts,0.37,0.34040000000000004,8535.12
CUST_IQV0XE,Discount,Discounts,0.56,0.5152000000000001,4604.64
CUST_3ZRNZ3,Email Campaign,VIP Treatment,0.61,0.5185,8999.77
CUST_ZJNPBF,Email Campaign,Discounts,0.58,0.5336,1951.21
CUST_UNGIOM,Email Campaign,Standard Communication,0.61,0.61,2944.65
CUST_DPP7HR,Email Campaign,Discounts,0.58,0.5336,9398.28
CUST_LEQCII,Discount,Standard Communication,0.05,0.05,3410.85
CUST_OBFCJF,Email Campaign,VIP Treatment,0.76,0.646,8760.13
CUST_5DYG8U,Email Campaign,Standard Communication,0.69,0.69,3191.94
CUST_SR6VQQ,Email Campaign,VIP Treatment,0.99,0.8415,9501.14
CUST_80Q2MD,Email Campaign,Discounts,0.49,0.45080000000000003,8440.48
CUST_UH7YWV,Email Campaign,Standard Communication,0.88,0.88,2408.58
CUST_DYLM50,Loyalty Program,Standard Communication,0.02,0.02,5004.22
CUST_B81DJW,Email Campaign,Standard Communication,0.88,0.88,6385.28
CUST_BA60CU,Discount,VIP Treatment,0.76,0.646,7241.38
CUST_C0MNA8,Email Campaign,Discounts,0.45,0.41400000000000003,6878.09
CUST_MCTMMV,Email Campaign,Re-engagement Campaign,0.8,0.7040000000000001,3626.22
CUST_U8SYRO,Discount,VIP Treatment,0.62,0.527,9380.7
CUST_HCTYBP,Loyalty Program,Discounts,0.46,0.4232,958.3
CUST_1OTG9G,Email Campaign,Discounts,0.52,0.47840000000000005,6037.44
CUST_Z0CVKV,Email Campaign,VIP Treatment,0.83,0.7054999999999999,9693.01
CUST_S3BF66,Loyalty Program,Standard Communication,0.01,0.01,7538.92
CUST_PBCB53,Discount,Standard Communication,0.69,0.69,5663.96
CUST_0YAQMW,Discount,Discounts,0.56,0.5152000000000001,8799.68
CUST_CJS21G,Loyalty Program,Standard Communication,0.9,0.9,2934.9
CUST_6IVKK5,Email Campaign,Standard Communication,0.18,0.18,6904.6
CUST_61YMCL,Email Campaign,Loyalty Programs,0.07,0.06300000000000001,7457.07
CUST_V1I38A,Email Campaign,Discounts,0.59,0.5428,3680.0
CUST_UUHPQ9,Loyalty Program,Discounts,0.56,0.5152000000000001,5352.96
CUST_YKK7MI,Loyalty Program,Standard Communication,0.23,0.23,3255.5
CUST_ID8A3Z,Discount,Re-engagement Campaign,0.6,0.528,4558.75
CUST_A191FT,Loyalty Program,Standard Communication,0.99,0.99,2484.73
CUST_BZYXEW,Email Campaign,Discounts,0.35,0.322,5761.97
CUST_KCIU1K,Discount,Standard Communication,0.1,0.1,536.12
CUST_CYR05A,Discount,Standard Communication,0.73,0.73,3775.1
CUST_LKLIYR,Email Campaign,Re-engagement Campaign,0.72,0.6335999999999999,3526.85
CUST_7E39QV,Loyalty Program,Discounts,0.38,0.3496,5822.76
CUST_1MTMOT,Discount,Discounts,0.32,0.2944,2037.71
CUST_TT0UCR,Discount,Standard Communication,0.07,0.07,245.3
CUST_C6C009,Email Campaign,Standard Communication,0.87,0.87,5197.28
CUST_PWSO3E,Loyalty Program,VIP Treatment,0.89,0.7565,7482.28
CUST_LWAOZD,Loyalty Program,Re-engagement Campaign,0.24,0.2112,3754.13
CUST_VAILQ0,Email Campaign,Discounts,0.36,0.3312,2256.55
CUST_PLV7K6,Email Campaign,Discounts,0.55,0.5060000000000001,7568.5
CUST_MPDQ5K,Discount,Re-engagement Campaign,0.13,0.1144,5549.38
CUST_Z1WQH7,Loyalty Program,Standard Communication,0.11,0.11,9851.37
CUST_EBZ990,Loyalty Program,VIP Treatment,1.0,0.85,7909.31
CUST_DSAEYZ,Discount,Standard Communication,0.76,0.76,3898.37
CUST_6SBTCX,Loyalty Program,Re-engagement Campaign,0.0,0.0,873.97
CUST_P1R007,Email Campaign,Re-engagement Campaign,0.79,0.6952,3937.87
CUST_NZ52FO,Loyalty Program,Re-engagement Campaign,0.89,0.7832,5745.49
CUST_X39WEH,Discount,Standard Communication,0.86,0.86,1747.84
CUST_3WBV5J,Discount,Loyalty Programs,0.22,0.198,8785.14
CUST_0TYJV5,Email Campaign,Standard Communication,0.0,0.0,3693.18
CUST_56YSZP,Loyalty Program,Standard Communication,0.1,0.1,2029.81
CUST_GDSEDU,Email Campaign,Standard Communication,0.62,0.62,5614.24
CUST_HP4FMO,Discount,Discounts,0.39,0.3588,9607.21
CUST_SAP6TV,Loyalty Program,Discounts,0.31,0.2852,9711.58
CUST_V0XTFV,Email Campaign,Discounts,0.4,0.36800000000000005,6969.12
CUST_XGBWQI,Loyalty Program,Discounts,0.43,0.3956,2568.73
CUST_640801,Loyalty Program,Standard Communication,0.97,0.97,2675.96
CUST_27PZ49,Discount,Standard Communication,0.22,0.22,9171.88
CUST_NI62US,Loyalty Program,Standard Communication,0.29,0.29,2854.8
CUST_023VNN,Loyalty Program,Standard Communication,0.16,0.16,9343.21
CUST_KW4EVE,Discount,Discounts,0.56,0.5152000000000001,9345.92
CUST_Y0X0AN,Email Campaign,Standard Communication,0.28,0.28,4258.49
CUST_5U3LSN,Email Campaign,Standard Communication,0.26,0.26,3861.5
CUST_FYXHNZ,Discount,Standard Communication,0.92,0.92,1575.26
CUST_HTDFXX,Discount,Standard Communication,0.09,0.09,8094.0
CUST_3HKSBS,Discount,Loyalty Programs,0.14,0.12600000000000003,1817.28
CUST_JY6XSR,Discount,Standard Communication,0.26,0.26,5843.02
CUST_FN8PY4,Email Campaign,Discounts,0.47,0.4324,6183.62
CUST_URFCU4,Discount,Re-engagement Campaign,0.12,0.1056,6991.4
CUST_JHTAN6,Loyalty Program,Discounts,0.36,0.3312,982.0
CUST_N8IHQO,Loyalty Program,Re-engagement Campaign,0.06,0.0528,2215.62
CUST_SMACWR,Loyalty Program,VIP Treatment,0.93,0.7905,7147.25
CUST_5KD336,Discount,Standard Communication,0.24,0.24,8484.35
CUST_MNGTJC,Email Campaign,Standard Communication,0.12,0.12,1323.14
CUST_OE4TDD,Loyalty Program,Loyalty Programs,0.15,0.135,8398.24
CUST_I9DNYJ,Email Campaign,Standard Communication,0.17,0.17,1613.42
CUST_ZJJ7JM,Loyalty Program,VIP Treatment,0.68,0.5780000000000001,8716.06
CUST_HRYMWC,Email Campaign,Discounts,0.34,0.3128,6288.43
CUST_5MOO2V,Discount,Standard Communication,0.93,0.93,4166.38
CUST_M66F3A,Discount,Discounts,0.53,0.48760000000000003,7571.88
CUST_MJZU21,Loyalty Program,Discounts,0.4,0.36800000000000005,3407.47
CUST_XUQG9A,Email Campaign,Re-engagement Campaign,0.17,0.1496,9909.2
CUST_IQ08NC,Email Campaign,Loyalty Programs,0.15,0.135,4861.13
CUST_M23FDT,Email Campaign,Discounts,0.53,0.48760000000000003,5057.82
CUST_NUFMWX,Discount,Discounts,0.58,0.5336,1409.02
CUST_F1FXIM,Email Campaign,Discounts,0.39,0.3588,4768.11
CUST_WY80TC,Discount,Re-engagement Campaign,0.24,0.2112,7211.15
CUST_14KD85,Discount,Re-engagement Campaign,0.76,0.6688000000000001,5887.05
CUST_RSYANB,Loyalty Program,Loyalty Programs,0.07,0.06300000000000001,3698.45
CUST_PJPNDR,Loyalty Program,Re-engagement Campaign,0.24,0.2112,812.15
CUST_U4KW3X,Discount,Standard Communication,0.11,0.11,3344.24
CUST_F32PS2,Discount,Discounts,0.46,0.4232,6150.9
CUST_IU29SL,Loyalty Program,VIP Treatment,0.86,0.731,7675.63
CUST_DD0IA1,Discount,Discounts,0.44,0.4048,6678.54
CUST_CN5GYW,Discount,Standard Communication,0.83,0.83,6233.92
CUST_LVPSG5,Email Campaign,VIP Treatment,0.82,0.697,9080.22
CUST_ZVKQXB,Discount,Discounts,0.52,0.47840000000000005,1383.82
CUST_DU4VVY,Loyalty Program,Discounts,0.49,0.45080000000000003,3961.02
CUST_X96WJ5,Email Campaign,Discounts,0.59,0.5428,1469.53
CUST_L9TUV8,Email Campaign,Standard Communication,0.77,0.77,4921.97
CUST_742TUO,Email Campaign,VIP Treatment,0.89,0.7565,9990.55
CUST_UN6YWL,Email Campaign,Re-engagement Campaign,0.92,0.8096,1540.64
CUST_AYOVU3,Discount,VIP Treatment,0.62,0.527,7231.19
CUST_9E6S7D,Loyalty Program,Standard Communication,0.26,0.26,7140.53
CUST_P1M1HI,Email Campaign,Discounts,0.43,0.3956,1050.69
CUST_QGAU9P,Loyalty Program,Loyalty Programs,0.09,0.081,8909.13
CUST_P9RD8T,Loyalty Program,Re-engagement Campaign,0.98,0.8623999999999999,6287.33
CUST_GUAALR,Loyalty Program,VIP Treatment,0.94,0.7989999999999999,8431.35
CUST_7NZ5FP,Loyalty Program,Standard Communication,0.79,0.79,946.23
CUST_J9NB0L,Loyalty Program,Standard Communication,0.11,0.11,6709.17
CUST_13QHJL,Discount,Standard Communication,0.6,0.6,4593.84
CUST_4NARX8,Email Campaign,Discounts,0.56,0.5152000000000001,8189.3
CUST_PRPQO5,Loyalty Program,Standard Communication,0.15,0.15,1873.44
CUST_S6MTP7,Loyalty Program,Standard Communication,0.86,0.86,1068.36
CUST_9ROGRU,Email Campaign,Discounts,0.49,0.45080000000000003,3896.21
CUST_ZQLJAY,Discount,Standard Communication,0.62,0.62,139.75
CUST_B58H7L,Email Campaign,Re-engagement Campaign,0.25,0.22,8067.5
CUST_5NKIEE,Email Campaign,Discounts,0.51,0.4692,3086.35
CUST_VDOYGN,Loyalty Program,Standard Communication,0.93,0.93,1855.78
CUST_0FEEN8,Discount,Standard Communication,0.82,0.82,3109.02
CUST_P13G7O,Loyalty Program,Standard Communication,0.74,0.74,721.96
CUST_07ZXCT,Discount,Discounts,0.5,0.46,1248.62
CUST_KO71BP,Loyalty Program,Standard Communication,0.79,0.79,3308.5
CUST_0BY8MK,Discount,Discounts,0.47,0.4324,3534.82
CUST_UTTL8N,Loyalty Program,Standard Communication,0.26,0.26,4879.08
CUST_CC3260,Email Campaign,Standard Communication,0.08,0.08,6554.95
CUST_JHW9UF,Loyalty Program,Re-engagement Campaign,0.07,0.06160000000000001,7380.37
CUST_4ACQQ5,Loyalty Program,Standard Communication,0.16,0.16,436.24
CUST_USPPCW,Discount,VIP Treatment,0.95,0.8075,8411.42
CUST_FBHQE2,Discount,Discounts,0.37,0.34040000000000004,1362.77
CUST_UIIDH0,Email Campaign,Discounts,0.41,0.3772,5169.64
CUST_KXVV0V,Loyalty Program,Discounts,0.36,0.3312,2102.24
CUST_G0KG65,Loyalty Program,Standard Communication,0.16,0.16,5815.1
CUST_85ZTRG,Email Campaign,Discounts,0.37,0.34040000000000004,8444.64
CUST_PBG2Y0,Discount,Standard Communication,0.26,0.26,5742.39
CUST_ODB6BC,Discount,Re-engagement Campaign,0.95,0.836,5358.1
CUST_BY55OU,Email Campaign,Standard Communication,0.11,0.11,2347.28
CUST_QWTGFG,Email Campaign,Re-engagement Campaign,0.28,0.24640000000000004,8666.25
CUST_7RB75G,Discount,Discounts,0.43,0.3956,1972.2
CUST_NOSVSL,Discount,Re-engagement Campaign,0.99,0.8712,253.63
CUST_WCCS3G,Email Campaign,Standard Communication,0.05,0.05,9538.68
CUST_65KYTC,Discount,Discounts,0.48,0.4416,3960.64
CUST_RGSXQ5,Discount,Discounts,0.42,0.3864,4088.58
CUST_EBI7OA,Discount,Standard Communication,0.25,0.25,176.09
CUST_DIUOWK,Loyalty Program,Discounts,0.48,0.4416,716.41
